artifact_id,path,artifact_kind,role,authority,derived_from,dimension_claim,fabrication_required,notes
MARX-README-001,README.md,design_table,design_table,concept_only,,none,false,"L2 packet overview; no fabrication dimensions, action geometry, or measured tuning authority."
MARX-DESIGN-001,design.md,design_table,design_table,pending_measurement,README.md,none,true,"Concept mechanism and measurement plan for fretless zither body, string courses, spring hammer arms, and tremolo behavior."
MARX-BOM-001,bom.csv,design_table,design_table,pending_measurement,design.md,none,true,"Estimated subsystem/material list only; quantities and specifications require measurement and sourcing."
MARX-CUT-001,cut-list.csv,measurement_template,measurement_template,pending_measurement,design.md,none,false,"Planning cut-list for coupons/modules only; no dimensions or fabrication authority."
MARX-CAD-LOG-001,cad/mcp-session-log.md,cad,cnc_reference,concept_only,README.md,none,false,"Provenance stub recording QMD Step 0 and that no MCP/CAD/DXF session was run."
MARX-DECISION-001,decision-record.md,design_table,design_table,pending_measurement,design.md,none,true,"Concept decisions and open questions; all build-critical choices remain pending measurement."
MARX-VISREG-001,visual-output-register.csv,design_table,design_table,concept_only,README.md,none,false,"Authority ledger for the L2 packet; all artifacts remain concept_only or pending_measurement."
MARX-WL-STARTER-001,marxophone-starter.wl,design_table,design_table,reference_only,,none,false,"Wolfram source entry point authored by hand; computes no fabrication dimensions."
MARX-WL-MODEL-001,wolfram/marxophone-wolfram-model.wl,design_table,design_table,reference_only,marxophone-starter.wl,none,false,"Wolfram 14.3 parametric string/spring-hammer model; all physical inputs are estimate placeholders pending measurement."
MARX-CAD-001,cad/marxophone.scad,cad_source,cad_authoring,pending_measurement,design.md,none,false,"Parametric OpenSCAD master: GENERIC REVIEW ENVELOPE of a fretless-zither soundbox + string band + schematic spring-hammer action. Traces to NO measured design table (all values prototype_assumption). Renders clean in OpenSCAD (exit 0). Not fabrication authority; no spring force model."
MARX-SRC-001,sourcing.csv,sourcing,sourcing,pending_measurement,design.md,none,false,"Spec-first sourcing directions; all subsystems pending measurement, live prices not verified."
MARX-VAL-001,validation.csv,measurement_template,measurement_template,pending_measurement,design.md,none,false,"Coupon/action validation checks; all targets TBD pending bench tests."
MARX-RISK-001,risks.md,design_doc,risk_register,concept_only,design.md,none,false,"Qualitative L2 risk register; no validated FMEA."
MARX-BRIEF-001,drawing-brief.md,design_doc,drawing_plan,concept_only,design.md,none,false,"Drawing brief scaffold; no dimensioned drawings exist."
